title,year,rating,no_of_reviews,genres,runtime,gross
10 Things I Hate About You,1999.0,7.3,"356,002","
Comedy, Drama, Romance            ",97 min,$38.18M
The King,2019.0,7.3,"137,488","
Biography, Drama, History            ",140 min,
The Ballad of Buster Scruggs,2018.0,7.3,"154,831","
Comedy, Drama, Musical            ",133 min,
Decision to Leave,2022.0,7.3,"40,460","
Crime, Drama, Mystery            ",139 min,
Jerry Maguire,1996.0,7.3,"274,661","
Comedy, Drama, Romance            ",139 min,$153.95M
The Shape of Water,2017.0,7.3,"430,919","
Drama, Fantasy, Romance            ",123 min,$63.86M
Rye Lane,2023.0,7.3,"4,664","
Comedy, Drama, Romance            ",82 min,
Blue Valentine,2010.0,7.3,"202,350","
Drama, Romance            ",112 min,$9.74M
Steel Magnolias,1989.0,7.3,"58,584","
Comedy, Drama, Romance            ",117 min,$83.76M
Shrek 2,2004.0,7.3,"479,204","
Animation, Adventure, Comedy            ",93 min,$436.47M
Excalibur,1981.0,7.3,"64,084","
Adventure, Drama, Fantasy            ",140 min,$34.97M
A Walk to Remember,2002.0,7.3,"215,233","
Drama, Romance            ",101 min,$41.28M
In the Heights,2021.0,7.3,"49,190","
Drama, Musical, Romance            ",143 min,
Big,1988.0,7.3,"228,653","
Comedy, Drama, Fantasy            ",104 min,$114.97M
Revolutionary Road,2008.0,7.3,"218,060","
Drama, Romance            ",119 min,$22.91M
Memoirs of a Geisha,2005.0,7.3,"154,365","
Drama, Romance            ",145 min,$57.49M
Punch-Drunk Love,2002.0,7.3,"169,720","
Comedy, Drama, Romance            ",95 min,$17.84M
The Guernsey Literary and Potato Peel Pie Society,2018.0,7.3,"48,987","
Drama, Romance, War            ",124 min,
Alice Doesn't Live Here Anymore,1974.0,7.3,"24,822","
Drama, Romance            ",112 min,$18.60M
Entergalactic,2022.0,7.3,"11,843","
Animation, Comedy, Music            ",93 min,
Corpse Bride,2005.0,7.3,"282,973","
Animation, Drama, Family            ",77 min,$53.36M
The Ultimate Gift,2006.0,7.3,"19,635","
Drama, Family, Romance            ",114 min,$3.44M
Frida,2002.0,7.3,"92,134","
Biography, Drama, Romance            ",123 min,$25.89M
I Origins,2014.0,7.3,"128,624","
Drama, Mystery, Romance            ",106 min,$0.33M
Lars and the Real Girl,2007.0,7.3,"149,050","
Comedy, Drama, Romance            ",106 min,$5.97M
Across the Universe,2007.0,7.3,"112,125","
Drama, Fantasy, History            ",133 min,$24.34M
Chocolat,2000.0,7.3,"195,677","
Drama, Romance            ",121 min,$71.51M
Falcon Lake,2022.0,7.3,795,"
Drama, Romance            ",100 min,
Say Anything,1989.0,7.3,"92,711","
Comedy, Drama, Romance            ",100 min,$20.78M
Youth,2015.0,7.3,"80,611","
Comedy, Drama, Music            ",124 min,$2.70M
Driving Miss Daisy,1989.0,7.3,"113,286","
Comedy, Drama, Romance            ",99 min,$106.59M
Paterson,2016.0,7.3,"84,663","
Comedy, Drama, Romance            ",118 min,$2.14M
The Unbearable Lightness of Being,1988.0,7.3,"37,208","
Drama, Romance            ",171 min,$10.01M
Seven Brides for Seven Brothers,1954.0,7.3,"25,993","
Comedy, Drama, Musical            ",102 min,$9.40M
Belle,2013.0,7.3,"31,908","
Biography, Drama, Romance            ",100 min,$10.73M
Big Night,1996.0,7.3,"21,633","
Drama, Romance            ",109 min,$11.88M
Election,1999.0,7.3,"99,584","
Comedy, Romance            ",103 min,$14.88M
Our Friend,2019.0,7.3,"13,505","
Drama, Romance            ",124 min,
Phantom of the Paradise,1974.0,7.3,"20,558","
Comedy, Drama, Fantasy            ",91 min,$0.16M
Funny Girl,1968.0,7.3,"23,835","
Biography, Comedy, Drama            ",151 min,$58.50M
Far from Heaven,2002.0,7.3,"47,689","
Drama, Romance            ",107 min,$15.85M
The Man in the Moon,1991.0,7.3,"17,468","
Drama, Romance            ",99 min,$2.85M
The Spanish Apartment,2002.0,7.3,"41,934","
Comedy, Drama, Romance            ",122 min,$3.90M
Ten Inch Hero,2007.0,7.3,"12,890","
Comedy, Drama, Romance            ",102 min,
Reds,1981.0,7.3,"23,662","
Biography, Drama, History            ",195 min,$40.38M
The Wanderers,1979.0,7.3,"11,772","
Crime, Drama, Romance            ",112 min,$0.01M
Red Dog,2011.0,7.3,"18,620","
Biography, Comedy, Drama            ",92 min,
Easter Parade,1948.0,7.3,"10,550","
Musical, Romance            ",103 min,$9.03M
Passages,2023.0,7.3,196,"
Drama, Romance            ",91 min,
Tess,1979.0,7.3,"17,413","
Drama, Romance            ",186 min,
Coming Home,1978.0,7.3,"13,998","
Drama, Romance, War            ",127 min,$32.65M
Mona Lisa,1986.0,7.3,"17,660","
Crime, Drama, Romance            ",104 min,$5.79M
Bowery Boy,1940.0,7.1,25,"
Action, Adventure, Crime            ",71 min,
Valley of the Kings,1964.0,7.1,25,"
Action, Adventure, Mystery            ",101 min,
The Scrapper,2012.0,7.1,23,"
Action, Drama            ",90 min,
No White Knight,2005.0,7.1,13,"
Action            ",83 min,
Swine,2012.0,7.1,23,"
Action, Sci-Fi, Western            ",90 min,
Wolf Head,2012.0,7.1,26,"
Action, Comedy, Crime            ",92 min,
The Long Island Project,2006.0,7.1,53,"
Action, Comedy, Drama            ",73 min,
Fortified,2008.0,7.1,607,"
Action, Thriller            ",47 min,
Speed to Burn,1938.0,7.1,22,"
Action, Crime, Drama            ",60 min,
Fist of the North Star: The Ray Saga,2011.0,7.1,25,"
Animation, Action, Drama            ",120 min,
The Armored Vault,1926.0,7.1,12,"
Action, Crime            ",108 min,
Purple Gas,2003.0,7.1,20,"
Adventure, Comedy, Action            ",81 min,
The Minnesota Delivery,2015.0,7.1,19,"
Action            ",104 min,
307-r,2015.0,7.1,12,"
Action, Drama, Thriller            ",65 min,
Hoodoo Voodoo,2010.0,7.1,13,"
Action, Western            ",91 min,
Fist of the North Star: The Souther Saga,2011.0,7.1,23,"
Animation, Action, Drama            ",120 min,
The Last Kingdom: Seven Kings Must Die,2023.0,7.0,"18,867","
Action, Drama, History            ",111 min,
The Unbearable Weight of Massive Talent,2022.0,7.0,"120,039","
Action, Comedy, Crime            ",107 min,
The Northman,2022.0,7.0,"225,803","
Action, Adventure, Drama            ",137 min,
Shazam!,2019.0,7.0,"360,363","
Action, Adventure, Comedy            ",132 min,$140.37M
Transformers,2007.0,7.0,"649,397","
Action, Adventure, Sci-Fi            ",144 min,$319.25M
Super 8,2011.0,7.0,"359,956","
Action, Mystery, Sci-Fi            ",112 min,$127.00M
Hypnotic,2023.0,7.0,194,"
Action, Mystery, Thriller            ",92 min,
Constantine,2005.0,7.0,"356,898","
Action, Fantasy, Horror            ",121 min,$75.98M
Smokey and the Bandit,1977.0,7.0,"53,511","
Action, Adventure, Comedy            ",96 min,$126.74M
World War Z,2013.0,7.0,"685,090","
Action, Adventure, Horror            ",116 min,$202.36M
Ant-Man and the Wasp,2018.0,7.0,"421,369","
Action, Adventure, Comedy            ",118 min,$216.65M
Death Proof,2007.0,7.0,"299,699","
Action, Thriller            ",127 min,
Thor,2011.0,7.0,"864,813","
Action, Fantasy            ",115 min,$181.03M
Den of Thieves,2018.0,7.0,"117,102","
Action, Crime, Drama            ",140 min,$44.95M
Greyhound,2020.0,7.0,"102,536","
Action, Drama, History            ",91 min,
Jack Reacher,2012.0,7.0,"348,844","
Action, Mystery, Thriller            ",130 min,$80.07M
Cloverfield,2008.0,7.0,"407,562","
Action, Adventure, Horror            ",85 min,$80.05M
Stargate,1994.0,7.0,"196,424","
Action, Adventure, Sci-Fi            ",116 min,$71.57M
Rush Hour,1998.0,7.0,"277,997","
Action, Comedy, Crime            ",98 min,$141.15M
Fast & Furious 6,2013.0,7.0,"401,446","
Action, Adventure, Crime            ",130 min,$238.68M
RED,2010.0,7.0,"314,892","
Action, Comedy, Crime            ",111 min,$90.38M
Oblivion,2013.0,7.0,"536,217","
Action, Adventure, Sci-Fi            ",124 min,$89.02M
Real Steel,2011.0,7.0,"338,993","
Action, Drama, Sci-Fi            ",127 min,$85.47M
Logan Lucky,2017.0,7.0,"154,873","
Action, Comedy, Crime            ",118 min,$27.78M
Star Trek Beyond,2016.0,7.0,"251,112","
Action, Adventure, Sci-Fi            ",122 min,$158.85M
Dinner in America,2020.0,7.3,"4,487","
Comedy, Drama, Music            ",106 min,
Phoenix,2014.0,7.3,"19,561","
Drama, History, Music            ",98 min,
Irma la Douce,1963.0,7.3,"20,123","
Comedy, Romance            ",147 min,$25.25M
Hope and Glory,1987.0,7.3,"13,946","
Comedy, Drama, Romance            ",113 min,$10.02M
On the Town,1949.0,7.3,"18,091","
Comedy, Musical, Romance            ",98 min,
Monsoon Wedding,2001.0,7.3,"26,138","
Comedy, Drama, Romance            ",114 min,$13.88M
Love with the Proper Stranger,1963.0,7.3,"5,158","
Comedy, Drama, Romance            ",102 min,
A New Leaf,1971.0,7.3,"7,019","
Comedy, Romance            ",102 min,
Father Goose,1964.0,7.3,"11,457","
Adventure, Comedy, Romance            ",118 min,$12.50M
42nd Street,1933.0,7.3,"12,525","
Comedy, Drama, Music            ",89 min,$2.30M
The Glenn Miller Story,1954.0,7.3,"9,228","
Biography, Drama, Music            ",115 min,
Dogfight,1991.0,7.3,"9,627","
Comedy, Drama, Romance            ",94 min,$0.39M
Love Jones,1997.0,7.3,"5,227","
Drama, Romance            ",109 min,$12.51M
Dinner Rush,2000.0,7.3,"5,502","
Crime, Drama, Romance            ",99 min,$0.11M
Your Name Engraved Herein,2020.0,7.3,"6,833","
Drama, Romance            ",118 min,
Grand Hotel,1932.0,7.3,"20,088","
Drama, Romance            ",112 min,$2.69M
The Beauty Inside,2015.0,7.3,"7,290","
Drama, Fantasy, Romance            ",127 min,$0.11M
What Happened Was...,1994.0,7.3,"1,998","
Comedy, Drama, Romance            ",91 min,$0.33M
The Man with the Golden Arm,1955.0,7.3,"11,628","
Crime, Drama, Romance            ",119 min,
Brand Upon the Brain!,2006.0,7.3,"3,622","
Comedy, Drama, Fantasy            ",95 min,$0.23M
Twice Born,2012.0,7.3,"17,019","
Drama, Romance, War            ",127 min,$0.01M
Shanghai Express,1932.0,7.3,"9,563","
Adventure, Drama, Film-Noir            ",82 min,
The Americanization of Emily,1964.0,7.3,"5,405","
Comedy, Drama, Romance            ",115 min,
Some Came Running,1958.0,7.3,"6,872","
Drama, Romance            ",137 min,
Friendly Persuasion,1956.0,7.3,"7,359","
Drama, Family, Romance            ",137 min,
Café de Flore,2011.0,7.3,"16,383","
Drama, Romance            ",120 min,
Journey to Italy,1954.0,7.3,"11,408","
Drama, Romance            ",97 min,
Hope,2019.0,7.3,"2,274","
Drama, Romance            ",125 min,
Mao's Last Dancer,2009.0,7.3,"8,080","
Biography, Drama, Music            ",117 min,$4.81M
The Family Way,1966.0,7.3,"1,777","
Comedy, Drama, Romance            ",115 min,
Lili,1953.0,7.3,"3,773","
Drama, Musical, Romance            ",81 min,
Never on Sunday,1960.0,7.3,"5,913","
Comedy, Drama, Romance            ",97 min,
Billy Liar,1963.0,7.3,"6,871","
Comedy, Drama, Romance            ",98 min,$0.04M
My Favorite Wife,1940.0,7.3,"11,031","
Comedy, Romance            ",88 min,
Leto,2018.0,7.3,"7,528","
Biography, Drama, History            ",126 min,
Christmas in Connecticut,1945.0,7.3,"10,879","
Comedy, Romance            ",101 min,
The Winslow Boy,1999.0,7.3,"9,272","
Drama, Romance            ",104 min,$3.96M
Tabu,2012.0,7.3,"7,198","
Drama, Romance            ",118 min,
Holiday Inn,1942.0,7.3,"16,255","
Comedy, Drama, Music            ",100 min,$8.18M
22 Jump Street,2014.0,7.0,"387,778","
Action, Comedy, Crime            ",112 min,$191.72M
Maverick,1994.0,7.0,"114,873","
Action, Adventure, Comedy            ",127 min,$101.63M
Bronson,2008.0,7.0,"135,318","
Action, Crime, Drama            ",92 min,$0.10M
Rambo,2008.0,7.0,"237,132","
Action, Adventure, Thriller            ",92 min,$42.75M
Chronicle,2012.0,7.0,"256,171","
Action, Drama, Sci-Fi            ",84 min,$64.58M
Ichi the Killer,2001.0,7.0,"57,839","
Action, Crime, Drama            ",129 min,$0.02M
9,2009.0,7.0,"142,888","
Animation, Action, Adventure            ",79 min,$31.74M
Chip 'n Dale: Rescue Rangers,2022.0,7.0,"43,242","
Animation, Action, Adventure            ",97 min,
The Kingdom,2007.0,7.0,"128,155","
Action, Drama, Thriller            ",110 min,$47.54M
The Last Boy Scout,1991.0,7.0,"106,947","
Action, Comedy, Crime            ",105 min,$59.51M
The Spy Who Loved Me,1977.0,7.0,"111,905","
Action, Adventure, Thriller            ",125 min,$46.80M
Hellboy II: The Golden Army,2008.0,7.0,"277,671","
Action, Adventure, Fantasy            ",120 min,$75.75M
The Towering Inferno,1974.0,7.0,"45,700","
Action, Drama, Thriller            ",165 min,$116.00M
Body of Lies,2008.0,7.0,"232,590","
Action, Drama, Thriller            ",128 min,$39.39M
Spy Game,2001.0,7.0,"160,638","
Action, Crime, Thriller            ",126 min,$0.03M
Ip Man 4: The Finale,2019.0,7.0,"34,228","
Action, Biography, Drama            ",107 min,$3.96M
A Most Violent Year,2014.0,7.0,"74,605","
Action, Crime, Drama            ",125 min,$5.74M
Filth,2013.0,7.0,"112,021","
Action, Comedy, Crime            ",97 min,$0.03M
Juice,1992.0,7.0,"28,463","
Action, Crime, Drama            ",95 min,$20.15M
Thunderbolt and Lightfoot,1974.0,7.0,"26,731","
Action, Comedy, Crime            ",115 min,$25.00M
The War of the Worlds,1953.0,7.0,"37,016","
Action, Sci-Fi, Thriller            ",85 min,$4.36M
Adventures of Don Juan,1948.0,7.0,"3,358","
Action, Adventure, Romance            ",110 min,$4.72M
Dragon: The Bruce Lee Story,1993.0,7.0,"31,891","
Action, Biography, Drama            ",120 min,$35.11M
Son of Rambow,2007.0,7.0,"32,450","
Action, Adventure, Comedy            ",96 min,$1.78M
Ip Man 3,2015.0,7.0,"57,549","
Action, Biography, Drama            ",105 min,$2.68M
Sultan,2016.0,7.0,"48,659","
Action, Drama, Romance            ",170 min,$6.20M
Miracle Mile,1988.0,7.0,"11,434","
Action, Drama, Romance            ",87 min,$1.15M
The Vikings,1958.0,7.0,"14,933","
Action, Adventure, History            ",116 min,$7.00M
Don 2,2011.0,7.0,"55,153","
Action, Crime, Thriller            ",148 min,$3.68M
Battle for Sevastopol,2015.0,7.0,"13,105","
Action, Biography, Drama            ",110 min,
Escape from Mogadishu,2021.0,7.0,"6,041","
Action, Drama, Thriller            ",121 min,
Wheels on Meals,1984.0,7.0,"14,293","
Action, Comedy, Crime            ",100 min,
Tarzan the Ape Man,1932.0,7.0,"7,820","
Action, Adventure, Romance            ",100 min,
The Stunt Man,1980.0,7.0,"10,014","
Action, Comedy, Drama            ",131 min,$7.06M
The Admiral,2015.0,7.0,"10,043","
Action, Biography, Drama            ",151 min,
Sands of Iwo Jima,1949.0,7.0,"10,880","
Action, Drama, Romance            ",100 min,
Muru,2022.0,7.0,218,"
Action, Drama            ",104 min,
To End All Wars,2001.0,7.0,"11,261","
Action, Drama, War            ",117 min,
Across 110th Street,1972.0,7.0,"6,659","
Action, Crime, Drama            ",102 min,$3.60M
The Charge of the Light Brigade,1936.0,7.0,"5,255","
Action, Adventure, Romance            ",115 min,
Veteran,2015.0,7.0,"7,124","
Action, Comedy, Crime            ",123 min,$1.20M
A Bullet for the General,1967.0,7.0,"4,779","
Action, Western            ",115 min,
Felidae,1994.0,7.0,"4,663","
Animation, Action, Drama            ",82 min,
Cesar & Rosalie,1972.0,7.3,"3,630","
Drama, Romance            ",104 min,
Arranged,2007.0,7.3,"3,035","
Comedy, Drama, Romance            ",90 min,$0.02M
The Cakemaker,2017.0,7.3,"4,926","
Drama, Romance            ",113 min,$0.88M
A Thousand Clowns,1965.0,7.3,"3,566","
Comedy, Drama, Romance            ",118 min,$5.23M
Bet on Revenge,2017.0,7.3,"5,903","
Adventure, Drama, History            ",121 min,
Big Eden,2000.0,7.3,"4,725","
Comedy, Drama, Romance            ",118 min,$0.51M
Humoresque,1946.0,7.3,"4,650","
Drama, Music, Mystery            ",125 min,$2.28M
The Thin Man Goes Home,1944.0,7.3,"5,952","
Comedy, Crime, Film-Noir            ",100 min,$3.86M
Tomorrow Is Forever,1946.0,7.3,"2,748","
Drama, Romance, War            ",104 min,$3.25M
The Clock,1945.0,7.3,"3,815","
Comedy, Drama, Romance            ",90 min,$2.78M
Hold Back the Dawn,1941.0,7.3,"2,646","
Drama, Romance            ",116 min,
Stormy Weather,1943.0,7.3,"2,653","
Comedy, Drama, Music            ",78 min,
Twentieth Century,1934.0,7.3,"6,923","
Comedy, Romance            ",91 min,
Tales of Manhattan,1942.0,7.3,"2,408","
Comedy, Drama, Romance            ",118 min,
The Bubble,2006.0,7.3,"5,619","
Comedy, Drama, Romance            ",117 min,$0.16M
The Year My Voice Broke,1987.0,7.3,"2,199","
Drama, Romance            ",103 min,$0.21M
Merrily We Live,1938.0,7.3,"2,087","
Comedy, Music, Romance            ",95 min,
The L-Shaped Room,1962.0,7.3,"2,095","
Drama, Romance            ",126 min,
Any Number Can Win,1963.0,7.3,"3,798","
Crime, Drama, Romance            ",118 min,$1.00M
Tension,1949.0,7.3,"3,293","
Crime, Drama, Film-Noir            ",95 min,
Carrie,1952.0,7.3,"2,570","
Drama, Romance            ",118 min,
I Served the King of England,2006.0,7.3,"7,964","
Comedy, Drama, Romance            ",113 min,$0.62M
Woman in a Dressing Gown,1957.0,7.3,808,"
Drama, Romance            ",93 min,
What Time Is It There?,2001.0,7.3,"5,148","
Drama, Romance            ",116 min,$0.19M
The Long Day Closes,1992.0,7.3,"3,682","
Biography, Drama, Romance            ",85 min,$0.16M
Goodbye Mother,2019.0,7.3,952,"
Comedy, Drama, Romance            ",106 min,
A Summer Tale,2000.0,7.3,"4,121","
Comedy, Drama, Family            ",91 min,
A Summer Story,1988.0,7.3,"1,125","
Drama, Romance            ",95 min,$0.46M
The Passionate Friends,1949.0,7.3,"2,789","
Drama, Romance            ",95 min,
Parineeta,2019.0,7.3,"1,526","
Romance            ",115 min,
Crazed Fruit,1956.0,7.3,"2,145","
Drama, Romance            ",86 min,
Love.net,2011.0,7.3,"3,878","
Drama, Romance            ",109 min,
The Lost Language of Cranes,1991.0,7.3,540,"
Drama, Romance            ",87 min,
Orphans of the Storm,1921.0,7.3,"5,302","
Drama, History, Romance            ",150 min,$0.79M
Bright Victory,1951.0,7.3,916,"
Drama, Romance, War            ",97 min,
Johnny in the Clouds,1945.0,7.3,"1,594","
Drama, Romance, War            ",87 min,
Apartment for Peggy,1948.0,7.3,"1,068","
Drama, Romance            ",96 min,
1987,2014.0,7.3,"1,513","
Biography, Comedy, Drama            ",105 min,
You & Me,2018.0,7.3,106,"
Comedy, Drama, Romance            ",90 min,
Sangam,1964.0,7.3,"1,812","
Drama, Musical, Romance            ",238 min,
White Snake,2019.0,7.0,"4,746","
Animation, Action, Adventure            ",99 min,$0.03M
The New Centurions,1972.0,7.0,"2,996","
Action, Crime, Drama            ",103 min,
Patlabor: The Movie,1989.0,7.0,"5,324","
Animation, Action, Crime            ",100 min,
One of Our Aircraft Is Missing,1942.0,7.0,"2,368","
Action, Adventure, Drama            ",82 min,
That Man from Rio,1964.0,7.0,"5,838","
Action, Adventure, Comedy            ",112 min,$0.04M
Morituri,1965.0,7.0,"4,195","
Action, Drama, Thriller            ",123 min,
Scott of the Antarctic,1948.0,7.0,"2,225","
Action, Adventure, Biography            ",111 min,
Air Force,1943.0,7.0,"3,638","
Action, Drama, History            ",124 min,
Tokyo Fist,1995.0,7.0,"3,736","
Action, Drama, Thriller            ",87 min,
His Kind of Woman,1951.0,7.0,"4,617","
Action, Crime, Film-Noir            ",120 min,
Young and Dangerous,1996.0,7.0,"1,929","
Action, Crime, Thriller            ",97 min,
Dragon Ball Z: The Return of Cooler,1992.0,7.0,"7,989","
Animation, Action, Fantasy            ",45 min,
Aakrosh,2010.0,7.0,"3,896","
Action, Crime, Drama            ",146 min,
Shake Hands with the Devil,1959.0,7.0,"1,420","
Action, Drama, History            ",111 min,
The Black Pirate,1926.0,7.0,"1,994","
Adventure, Action            ",88 min,$0.68M
The Amendment,2018.0,7.0,74,"
Action            ",90 min,
Shagird,2011.0,7.0,"2,179","
Action, Crime, Drama            ",143 min,
A Hero Never Dies,1998.0,7.0,"1,252","
Action, Crime, Drama            ",86 min,
Catatan (Harian) Si Boy,2011.0,7.0,151,"
Action, Drama, Romance            ",96 min,
Flash Gordon's Trip to Mars,1938.0,7.0,"1,005","
Action, Adventure, Family            ",299 min,
In My Own Hands,1996.0,7.0,40,"
Action, Crime, Drama            ",115 min,
Ink & Rain,2018.0,7.0,28,"
Action, Drama, Fantasy            ",81 min,
Jerico,2016.0,7.0,70,"
Action, Adventure, Comedy            ",98 min,
Stir,1980.0,7.0,317,"
Action, Drama, Thriller            ",101 min,
Pakners,2003.0,7.0,48,"
Action, Comedy, Musical            ",117 min,
Ghett'a Life,2011.0,7.0,108,"
Action, Drama            ",104 min,
Wayward: The Prodigal Son,2014.0,7.0,70,"
Action, Drama, Romance            ",93 min,
The Trail of '98,1928.0,7.0,423,"
Action, Adventure, Drama            ",87 min,
Spy Smasher,1942.0,7.0,378,"
Action, Adventure, Family            ",215 min,
Kampen om tungtvannet,1948.0,7.0,607,"
Action, Drama, War            ",107 min,
Where the North Begins,1923.0,7.0,93,"
Action, Adventure, Drama            ",75 min,
Catastrópico,2017.0,7.0,38,"
Action, Adventure, Comedy            ",111 min,
"Adieu, Galaxy Express 999: Last Stop Andromeda",1981.0,7.0,556,"
Animation, Action, Drama            ",135 min,
No Rules,2005.0,7.0,76,"
Action, Sport            ",96 min,
Animal Treasure Island,1971.0,7.0,466,"
Animation, Action, Adventure            ",78 min,
Secret Service in Darkest Africa,1943.0,7.0,103,"
Action, Adventure, War            ",243 min,
Tu pa tam,2004.0,7.0,"1,157","
Adventure, Comedy, Crime            ",92 min,
Bitayin si... Baby Ama!,1976.0,7.0,16,"
Action, Biography, Crime            ",118 min,
The Three Must-Get-Theres,1922.0,7.0,609,"
Action, Adventure, Comedy            ",58 min,
Why Worry?,1923.0,7.3,"1,883","
Adventure, Comedy, Family            ",63 min,$0.45M
Karate Kallie,2009.0,7.3,58,"
Comedy, Romance            ",90 min,
What's Up with Cinta 2,2016.0,7.3,"2,036","
Drama, Romance            ",123 min,
The Edge of the World,1937.0,7.3,"1,868","
Drama, History, Romance            ",74 min,
Children of Nature,1991.0,7.3,"1,543","
Drama, Romance            ",82 min,
Another Part of the Forest,1948.0,7.3,528,"
Drama, Romance            ",107 min,
The Last Big Attraction,1999.0,7.3,75,"
Comedy, Romance            ",90 min,
Only Yesterday,1933.0,7.3,388,"
Drama, Music, Romance            ",105 min,
Something in Between,1982.0,7.3,406,"
Drama, Romance            ",105 min,
Minsan pa,2004.0,7.3,58,"
Drama, Romance            ",153 min,
An Unforgettable Summer,1994.0,7.3,"1,046","
Drama, Romance, War            ",82 min,$0.07M
Saving Sally,2016.0,7.3,555,"
Animation, Drama, Fantasy            ",94 min,
Hovering Over the Water,1986.0,7.3,484,"
Drama, Romance            ",143 min,
Mary/Mary,2002.0,7.3,54,"
Comedy, Romance            ",93 min,
Chinese Eye,2004.0,7.3,624,"
Romance, Comedy, Drama            ",104 min,
Mouths and Rabbits,1977.0,7.3,630,"
Drama, Romance            ",120 min,
Train Birds,1998.0,7.3,"1,222","
Comedy, Romance, Crime            ",87 min,
Final Draft,2003.0,7.3,81,"
Comedy, Drama, Romance            ",97 min,
Not My Mother's Baking,2020.0,7.3,48,"
Comedy, Romance            ",112 min,
Virtual Man,2002.0,7.3,11,"
Comedy, Romance            ",73 min,
Snafu,1945.0,7.3,20,"
Comedy, Romance, War            ",85 min,
Love & Taxes,2015.0,7.3,39,"
Comedy, Romance            ",90 min,$0.03M
Bowery to Broadway,1944.0,7.3,75,"
Comedy, Drama, Music            ",94 min,
Citizen Dog,2004.0,7.3,"1,893","
Comedy, Fantasy, Romance            ",100 min,
Negeri Van Oranje,2015.0,7.3,310,"
Adventure, Drama, Romance            ",97 min,
Anhonee,1952.0,7.3,89,"
Drama, Romance, Thriller            ",155 min,
A Brand New Kitchen,2019.0,7.3,9,"
Drama, Romance            ",90 min,
"Ico, the Brave Horse",1983.0,7.3,325,"
Animation, Adventure, Drama            ",85 min,
Neander-Jin: The Return of the Neanderthal Man,2011.0,7.3,35,"
Comedy, Romance            ",81 min,
Twenty Million People,2013.0,7.3,93,"
Comedy, Romance            ",75 min,
Sex Ain't Love,2014.0,7.3,44,"
Comedy, Romance            ",85 min,
Cuban Fireball,1951.0,7.3,19,"
Comedy, Musical, Romance            ",78 min,
Laura Gets a Cat,2017.0,7.3,102,"
Comedy, Drama, Romance            ",83 min,
Congratulations,2012.0,7.3,59,"
Comedy, Drama, Family            ",95 min,
21,2000.0,7.3,89,"
Comedy, Drama, Romance            ",105 min,
Don Giovanni,1970.0,7.3,94,"
Drama, Romance            ",90 min,
Love/Hate,2011.0,7.3,38,"
Comedy, Romance            ",90 min,
Ekvtime: Man of God,2018.0,7.3,"2,732","
Biography, Drama, History            ",132 min,
13rd Sister,2019.0,7.0,41,"
Action, Comedy            ",97 min,
Little Orphan Annie,1938.0,7.0,56,"
Action, Crime, Drama            ",60 min,
Female Mercenaries,1983.0,7.0,10,"
Action            ",90 min,
Haunted Harbor,1944.0,7.0,91,"
Action, Adventure, Crime            ",243 min,
Massacre Harbor,1968.0,7.0,40,"
Action, Adventure, War            ",81 min,
Azimuth,2017.0,7.0,56,"
Action, Drama, War            ",75 min,
Night Train to Memphis,1946.0,7.0,37,"
Action, Drama, Music            ",66 min,
Sea of Lost Ships,1953.0,7.0,46,"
Action, Adventure, Drama            ",85 min,
The Sphere of the Lycanthrope,2009.0,7.0,32,"
Action, Comedy, Horror            ",112 min,
Hogan,2017.0,7.0,13,"
Action, Drama, Sport            ",108 min,
Spyder,1988.0,7.0,45,"
Action, War            ",79 min,
Sixty Minutes to Midnight,2017.0,7.0,56,"
Action            ",83 min,
The Vigilante: Fighting Hero of the West,1947.0,7.0,118,"
Action, Crime, Drama            ",285 min,
Show Them No Mercy!,1935.0,7.0,162,"
Action, Crime, Drama            ",76 min,
Ladron,2010.0,7.0,36,"
Action, Crime            ",83 min,
Hong Kong Godfather,1985.0,7.0,175,"
Action, Thriller            ",95 min,
The Proud Rider,1971.0,7.0,12,"
Action, Drama            ",85 min,
Karma Cartel,2014.0,7.0,28,"
Action, Comedy, Drama            ",100 min,
Paintball the Movie: Court Jesters,2005.0,7.0,47,"
Action            ",90 min,
2039 Il Ultimo Silenzio,2022.0,7.0,9,"
Action            ",70 min,
Treason,1933.0,7.0,43,"
Action, Adventure, Romance            ",63 min,
Fazbear's Fright: The Fan Film,2017.0,7.0,36,"
Action, Horror, Mystery            ",70 min,
Square Shoulders,1929.0,7.0,29,"
Action, Crime, Drama            ",58 min,
Jetblast,2002.0,7.0,11,"
Action, Sci-Fi            ",86 min,
The Game Done Changed,2017.0,7.0,25,"
Action, Comedy, Crime            ",105 min,
Nothing Man,2017.0,7.0,28,"
Action, Thriller            ",79 min,
The Invisible Informer,1946.0,7.0,20,"
Action, Crime, Drama            ",57 min,
Superman in Exile,1954.0,7.0,61,"
Action, Fantasy, Sci-Fi            ",77 min,
Rise Against the Fall,2019.0,7.0,20,"
Action, Crime, Drama            ",80 min,
Barrio MMA Kid,2012.0,7.0,9,"
Action            ",88 min,
The Fates,2017.0,7.0,14,"
Action, Adventure, Crime            ",70 min,
Shriman Satyawadi,1960.0,7.0,76,"
Action, Crime, Drama            ",146 min,
The Silver Treasure,1926.0,7.0,19,"
Action, Drama            ",75 min,
Desperation Rising,1989.0,7.0,35,"
Action, Adventure            ",90 min,
